id;group_key;item_key;item_value;status;created_date;created_by
1;INDUSTRY;1010;IT·通信·电子·互联网;true;now();system
3;INDUSTRY;1020;金融业;true;now();system
4;INDUSTRY;1030;房地产·建筑;true;now();system
5;INDUSTRY;1040;商业服务;true;now();system
6;INDUSTRY;1050;贸易·批发·零售·租赁;true;now();system
7;INDUSTRY;1060;文体教育·工艺美术;true;now();system
8;INDUSTRY;1070;生产·加工·制造;true;now();system
9;INDUSTRY;1080;交通·运输·物流·仓储;true;now();system
11;INDUSTRY;1090;服务业;true;now();system
12;INDUSTRY;1100;文化·传媒·娱乐·体育;true;now();system
13;INDUSTRY;1110;能源·矿产·环保;true;now();system
14;INDUSTRY;1120;政府·非盈利机构;true;now();system
15;INDUSTRY;1130;农·林·牧·鱼·其他;true;now();system
16;ACCOUNTING_STANDARDS;1;小企业会计准则;true;now();system
17;ACCOUNTING_STANDARDS;2;企业会计准则;true;now();system
18;ACCOUNTING_STANDARDS;3;民间非盈利组织会计制度;true;now();system
19;ACCOUNTING_STANDARDS;4;农民专业合作社财务会计制度(2023年);true;now();system
20;TAX_TYPE;1;小规模纳税人;true;now();system
21;TAX_TYPE;2;一般纳税人;true;now();system
22;META;INDUSTRY;行业;true;now();system
23;META;ACCOUNTING_STANDARDS;会计准则;true;now();system
24;META;TAX_TYPE;增值税种类;true;now();system
